Title,DOI,Authors,Date,Overview,Technique(s),GIS/Remote Sensing,Geography Focus,Field,Data Availability,Code,Anticipated Challenge Level (1-5),Reproduction,Notes
"GIS based earthquake potential analysis in Northwest Himalayan, Pakistan",https://doi.org/10.1007/s12665-023-10798-2,"Ahmed, T., Rehman, K., Shafique, M., & Ali, W.",2023,Construct an earthquake potential for Nepal map by integrating multiple data sources using GIS,Risk analysis (suitability),GIS,Physical,Natural Hazards (Earthquake),Available upon request,Not Applicable,3,Not Available,
Quantifying urban forest structure with open-access remote sensing data sets,https://doi.org/10.1016/j.ufug.2020.126653,"Baines, O., Wilkes, P., & Disney, M.",2020,"Estimating three metrics of 3D forest structure (canopy cover, canopy height and tree density) across the Greater London area",Random Forest,Remote Sensing,Physical,Urban Trees,Public Websites Linked in Article,Not Provided,5,Not Available,
Influence of built environment on pedestrian crashes: A network-based GIS analysis,https://doi.org/10.1016/j.apgeog.2016.06.005,"Dai, D., & Jaworski, D.",2016,A network-based kernel density technique was used to locate the hotspots of pedestrian crashes. An environmental audit was then conducted to provide a qualitative assessment of the built environment within each hotspot. Bivariate analysis and negative binomial models were utilized to examine the influence quantitatively after the road was partitioned into short road segments.,Network analysis; Network based kernel density estimates,GIS,Human,Urban Geography,Public Websites Linked in Article,Not Applicable,3.5,Not Available,Ignore public audit portion of the analysis
Applied soft classes and fuzzy confusion in a patchwork semi-arid ecosystem: Stitching together classification techniques to preserve ecologically-meaningful information,https://doi.org/10.1016/j.rse.2023.113853,"Enterkine, J., Caughlin, T. T., Dashti, H., & Glenn, N. F.",2024,k-means clustering to establish soft classes of vegetation cover communities from detailed field observations. A time-series of Sentinel-2 satellite imagery and a random forest classification leverages the mixing of different phenologies over time to impute such soft community classes over the landscape.,kmeans classification; random forest; ,Remote Sensing,Physical,Conservation,On request,On request,3,Not Available,
Petrochemical releases disproportionately affected socially vulnerable populations along the Texas Gulf Coast after Hurricane Harvey,https://doi.org/10.1007/s11111-020-00362-6,"Flores, A. B., Castor, A., Grineski, S. E., Collins, T. W., & Mullen, C.",2021,We calculated a Hurricane Harvey petrochemical hazard density index (PHDI) based on the locations of 42 facilities with reported releases along the Texas Gulf Coast. We used sociodemographic data from the American Community Survey to examine census tract-level social inequalities in PHDI,Buffer; x/y point creation; area calculation; ,GIS,Human,Environmental justice,Public Websites Linked in Article,Not Provided,3,Not Available,Intermediate level GIS analysis followed by advanced level regression modelling
The spatio-temporal impacts of demolition land use policy and crime in a shrinking city,https://doi.org/10.1016/j.apgeog.2013.02.014,"Frazier, A. E., Bagchi-Sen, S., & Knight, J.",2013,Demolition of abandoned buildings hotspots are used to determine effects on hotspot patterns and directional change of three types of crimes associated with abandoned buildings,Mean Center; Getis-Ord Hotspot; Determining neighborhood,GIS,Human,Urban Geography,Public Websites Linked in Article,Not Applicable,3.5,Not Available,
An ecological study on the spatially varying relationship between county-level suicide rates and altitude in the United States,https://doi.org/10.3390/ijerph15040671,"Ha, H., & Tu, W",2018,Regression analysis of suicide rates,Zonal statistics; GWR,GIS,Human,Spatial epidemiology,Public Websites Linked in Article,Not Applicable,2,Not Available,
GIS investigation of the fire history of Jonkershoek Nature Reserve,http://dx.doi.org/10.4314/sajg.v11i2.2,"Mashele, S. & Singh, K. ",2022,"Image classification was carried out from 2005 to 2015 to determine the burn patterns, with the process being aided by the fire regime history from 1970 to 2015. Ordinary Least Squares (OLS) analysis was carried out to determine how abiotic factors, such as elevation, slope and aspect, impact fires in the Reserve. The assessment of fires included the ascertainment of their location, coverage, and frequency, the Normalised Burn Ratio (NBR), the differenced Normalised Burn Ratio (dNBR) and the Normalised Difference Vegetation Index (NDVI)","raster calculation, regression",Remote Sensing,Physical,Natural Hazards (Fire),Public Websites Linked in Article,Not Provided,3,Not Available,"Methods are not complicated, but minimal information is provided about data and procedures"
Using Zillow data to value green space amenities at the neighborhood scale,https://doi.org/10.1016/j.ufug.2020.126794,"Holt, J. R., & Borsuk, M. E.",2020,Analyze over 5000 Zillow neighborhoods located in metropolitan areas across 44 states to identify the marginal value of urban green spaces with respect to median neighborhood home prices,vector and raster processing; NDVI; regression; Moran I,GIS/Remote Sensing,Physical/Human,Housing,Public Websites Linked in Article,Not Provided,4,Not Available,
Analysis of COVID-19 Cases' Spatial Dependence in US Counties Reveals Health Inequalities,https://doi.org/10.3389/fpubh.2020.579190,"Saffary, T., Adegboye, O. A., Gayawan, E., Elfaki, F., Kuddus, M. A., & Saffary, R.",2020,Spatial clustering analysis f Covid-19 cases,Descriptive statistics; Global Moran's I; Local Moran's I,GIS,Human,Spatial epidemiology,Github,Github,2,https://doi.org/10.17605/OSF.IO/QFKG4,
Evaluating social vulnerability indicators: criteria and their application to the Social Vulnerability Index,https://doi.org/10.1007/s11069-019-03820-z,"Spielman, S. E., Tuccillo, J., Folch, D. C., Schweikert, A., Davies, R., Wood, N., & Tate, E.",2020,"Multiple SoVI-based measurements of the vulnerability of the same place, using the same data, can yield strikingly different results. Authors also show that the SoVI is often misaligned with theory; increases in variables that contribute to vulnerability, like the unemployment rate, often decrease vulnerability as measured by the SoVI.",PCA; Mapping,GIS,Human,Social vulnerability,Public Websites Linked in Article,https://github.com/geoss/sovi-validity,2,https://doi.org/10.17605/OSF.IO/DZPE9 ,Reproduction includes updated code in a computational notebook
Mapping urbanization trends in a forested landscape using Google Earth Engine,https://doi.org/10.1007/s41976-019-00020-y,"Zurqani, H. A., Post, C. J., Mikhailova, E. A., & Allen, J. S.",2019,Determine the classes and the distribution of land cover using classification of high-resolution satellite imagery for the upstate region of South Carolina and identify urbanization trends. ,,Remote Sensing,Physical/Human,Land change/Urbanization,Google Earth Engine,Not Provided,4,Not Available,
